S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
1794,UK,2016,Ransomware,Government,"$83,670,000","701,152",Nation-state,Social Engineering,Firewall,53
1795,USA,2023,SQL Injection,Banking,"$30,660,000","749,609",Nation-state,Zero-day,AI-based Detection,28
1796,UK,2024,Man in the Middle,Government,"$86,740,000","658,712",Hacker Group,Unpatched Software,VPN,25
1797,China,2022,DDoS,Retail,"$77,740,000","642,501",Hacker Group,Zero-day,AI-based Detection,19
1798,Australia,2017,Malware,Banking,"$92,650,000","817,255",Hacker Group,Weak Passwords,Antivirus,62
1799,China,2021,Ransomware,Government,"$5,960,000","92,237",Nation-state,Weak Passwords,AI-based Detection,47
1800,Australia,2023,Man in the Middle,Communications,"$66,910,000","156,195",Nation-state,Unpatched Software,Firewall,58
1801,India,2016,Man in the Middle,IT,"$23,380,000","618,125",Nation-state,Zero-day,VPN,16
1802,Australia,2021,Man in the Middle,Banking,"$82,040,000","828,293",Insider,Weak Passwords,Antivirus,64
1803,Brazil,2017,Malware,Communications,"$6,090,000","436,100",Unknown,Zero-day,Encryption,12
1804,USA,2020,DDoS,Retail,"$14,120,000","787,194",Unknown,Zero-day,VPN,51
1805,France,2021,Phishing,Retail,"$31,520,000","380,086",Nation-state,Social Engineering,Encryption,65
1806,India,2024,Malware,Healthcare,"$13,740,000","330,581",Unknown,Zero-day,AI-based Detection,54
1807,Australia,2017,SQL Injection,IT,"$99,990,000","672,966",Hacker Group,Zero-day,Firewall,13
1808,India,2022,Malware,Communications,"$19,560,000","772,330",Hacker Group,Unpatched Software,Encryption,20
1809,Japan,2018,Man in the Middle,Communications,"$81,610,000","255,844",Insider,Unpatched Software,Encryption,8
1810,Germany,2017,Ransomware,Government,"$80,700,000","107,009",Nation-state,Social Engineering,Encryption,67
1811,Japan,2020,SQL Injection,Retail,"$10,410,000","872,095",Nation-state,Unpatched Software,Firewall,44
1812,France,2015,DDoS,Banking,"$85,360,000","50,427",Hacker Group,Zero-day,Encryption,5
1813,USA,2017,Phishing,Retail,"$15,240,000","599,197",Unknown,Zero-day,AI-based Detection,8
1814,Brazil,2022,Malware,Communications,"$40,080,000","459,643",Nation-state,Weak Passwords,Antivirus,10
1815,China,2021,DDoS,Communications,"$10,200,000","950,257",Nation-state,Weak Passwords,AI-based Detection,61
1816,Australia,2022,Phishing,Healthcare,"$72,530,000","496,317",Hacker Group,Weak Passwords,Antivirus,62
1817,Brazil,2017,Man in the Middle,Healthcare,"$96,360,000","596,078",Hacker Group,Weak Passwords,Encryption,10
1818,Brazil,2019,Ransomware,Banking,"$88,630,000","701,522",Insider,Social Engineering,VPN,10
1819,India,2015,Man in the Middle,Healthcare,"$37,150,000","357,124",Nation-state,Weak Passwords,Antivirus,31
1820,Germany,2022,SQL Injection,Government,"$47,920,000","112,688",Nation-state,Social Engineering,VPN,15
1821,India,2018,Phishing,Retail,"$14,460,000","743,107",Hacker Group,Social Engineering,VPN,49
1822,India,2022,Man in the Middle,Banking,"$32,470,000","947,465",Unknown,Unpatched Software,AI-based Detection,69
1823,Japan,2019,Ransomware,Government,"$81,970,000","358,572",Hacker Group,Weak Passwords,VPN,48
1824,India,2024,Malware,IT,"$92,080,000","430,701",Hacker Group,Unpatched Software,VPN,54
1825,Russia,2021,DDoS,Banking,"$94,480,000","281,900",Hacker Group,Zero-day,Antivirus,1
1826,Australia,2021,Malware,IT,"$84,740,000","391,257",Hacker Group,Zero-day,AI-based Detection,66
1827,China,2019,Man in the Middle,Banking,"$81,800,000","277,875",Nation-state,Social Engineering,Antivirus,43
1828,Japan,2015,DDoS,IT,"$33,270,000","207,244",Hacker Group,Zero-day,Antivirus,38
1829,India,2018,Malware,Healthcare,"$66,960,000","294,133",Insider,Social Engineering,VPN,20
1830,Brazil,2023,Ransomware,Communications,"$71,400,000","66,852",Hacker Group,Weak Passwords,VPN,58
1831,China,2024,Ransomware,Communications,"$67,470,000","54,722",Nation-state,Social Engineering,Encryption,13
1832,Australia,2022,Phishing,Education,"$17,320,000","178,951",Nation-state,Weak Passwords,Antivirus,26
1833,USA,2020,Ransomware,Healthcare,"$17,240,000","682,791",Insider,Social Engineering,Encryption,44
1834,Russia,2016,SQL Injection,Education,"$17,050,000","888,205",Nation-state,Weak Passwords,AI-based Detection,38
1835,France,2022,Phishing,IT,"$52,190,000","794,901",Insider,Zero-day,VPN,26
1836,France,2018,DDoS,Government,"$27,440,000","978,683",Insider,Zero-day,VPN,35
1837,Australia,2015,Phishing,Communications,"$73,770,000","639,279",Nation-state,Zero-day,VPN,44
1838,UK,2020,Malware,Retail,"$10,940,000","675,338",Hacker Group,Weak Passwords,VPN,54
1839,Australia,2021,Man in the Middle,Government,"$42,240,000","147,589",Insider,Unpatched Software,Antivirus,31
1840,Australia,2017,DDoS,Government,"$82,390,000","646,824",Hacker Group,Zero-day,AI-based Detection,2
1841,China,2016,Phishing,Government,"$37,620,000","465,317",Insider,Social Engineering,Firewall,20
1842,USA,2023,Malware,IT,"$21,530,000","233,379",Unknown,Unpatched Software,Antivirus,50
1843,China,2023,Malware,IT,"$43,510,000","684,108",Unknown,Weak Passwords,Firewall,24
1844,Russia,2020,DDoS,Healthcare,"$44,320,000","130,510",Unknown,Social Engineering,AI-based Detection,66
1845,Brazil,2016,Man in the Middle,Banking,"$43,450,000","489,853",Nation-state,Zero-day,AI-based Detection,28
1846,Australia,2022,Malware,Healthcare,"$47,920,000","25,905",Nation-state,Unpatched Software,VPN,40
1847,Japan,2023,Malware,IT,"$73,740,000","795,367",Hacker Group,Zero-day,AI-based Detection,55
1848,Australia,2023,Man in the Middle,Retail,"$93,250,000","349,335",Nation-state,Zero-day,Firewall,27
1849,USA,2015,Ransomware,Government,"$13,920,000","366,147",Hacker Group,Weak Passwords,VPN,38
1850,India,2018,Phishing,Government,"$41,100,000","25,094",Nation-state,Unpatched Software,VPN,42
1851,Russia,2024,Phishing,Retail,"$44,080,000","988,889",Nation-state,Unpatched Software,Encryption,31
1852,Japan,2022,Man in the Middle,IT,"$65,190,000","216,303",Hacker Group,Unpatched Software,AI-based Detection,49
1853,Australia,2023,Ransomware,Healthcare,"$21,540,000","388,211",Nation-state,Weak Passwords,Antivirus,22
1854,USA,2022,Man in the Middle,Education,"$83,610,000","30,235",Insider,Weak Passwords,Encryption,47
1855,USA,2023,Malware,Banking,"$13,990,000","109,083",Nation-state,Weak Passwords,Antivirus,49
1856,Germany,2017,Malware,Healthcare,"$49,090,000","397,361",Hacker Group,Weak Passwords,Encryption,57
1857,UK,2016,Ransomware,Retail,"$32,160,000","329,026",Nation-state,Weak Passwords,VPN,31
1858,Australia,2017,Man in the Middle,IT,"$45,500,000","889,521",Nation-state,Weak Passwords,Encryption,51
1859,USA,2018,SQL Injection,Healthcare,"$73,160,000","849,755",Insider,Weak Passwords,Encryption,46
1860,China,2021,Phishing,Education,"$70,200,000","631,101",Unknown,Zero-day,Firewall,36
1861,Japan,2016,DDoS,Healthcare,"$10,620,000","625,954",Insider,Weak Passwords,AI-based Detection,71
1862,Japan,2023,Man in the Middle,IT,"$26,650,000","220,769",Unknown,Zero-day,VPN,71
1863,China,2018,SQL Injection,Healthcare,"$52,010,000","527,443",Hacker Group,Unpatched Software,Firewall,24
1864,Germany,2020,DDoS,Government,"$32,710,000","846,169",Hacker Group,Zero-day,VPN,59
1865,China,2017,Malware,Education,"$47,460,000","783,239",Unknown,Social Engineering,VPN,41
1866,China,2022,Malware,Communications,"$11,390,000","104,772",Unknown,Social Engineering,Firewall,43
1867,Germany,2015,DDoS,Communications,"$31,680,000","33,098",Hacker Group,Zero-day,AI-based Detection,8
1868,UK,2024,Man in the Middle,Healthcare,"$65,780,000","512,847",Insider,Social Engineering,Encryption,72
1869,Australia,2018,SQL Injection,Banking,"$71,010,000","840,106",Insider,Weak Passwords,VPN,44
1870,Brazil,2024,SQL Injection,Healthcare,"$69,570,000","269,458",Insider,Zero-day,Firewall,15
1871,Germany,2021,Ransomware,Healthcare,"$66,840,000","242,893",Nation-state,Zero-day,Antivirus,50
1872,Russia,2018,Phishing,Education,"$5,250,000","605,947",Insider,Zero-day,Firewall,13
1873,Japan,2018,SQL Injection,Education,"$60,570,000","468,399",Nation-state,Zero-day,VPN,56
1874,India,2015,Ransomware,IT,"$61,680,000","503,774",Hacker Group,Zero-day,Firewall,37
1875,France,2021,Phishing,Retail,"$45,740,000","754,278",Insider,Social Engineering,Firewall,46
1876,Japan,2019,SQL Injection,IT,"$89,810,000","126,120",Unknown,Social Engineering,Encryption,39
1877,UK,2018,Malware,IT,"$73,270,000","210,024",Hacker Group,Weak Passwords,Antivirus,20
1878,France,2022,DDoS,Banking,"$51,330,000","970,775",Insider,Unpatched Software,AI-based Detection,21
1879,France,2017,Ransomware,Education,"$19,840,000","832,471",Insider,Social Engineering,Firewall,54
1880,India,2024,Phishing,IT,"$97,250,000","165,316",Unknown,Zero-day,Encryption,61
1881,Australia,2016,DDoS,Retail,"$2,960,000","990,886",Insider,Weak Passwords,AI-based Detection,59
1882,UK,2021,Malware,Communications,"$82,280,000","370,146",Nation-state,Zero-day,VPN,55
1883,China,2021,Man in the Middle,Retail,"$49,590,000","284,823",Unknown,Social Engineering,Antivirus,50
1884,UK,2016,Malware,Healthcare,"$65,140,000","742,857",Nation-state,Weak Passwords,Antivirus,49
1885,Brazil,2024,DDoS,Healthcare,"$70,000,000","484,101",Hacker Group,Unpatched Software,VPN,9
1886,UK,2015,Ransomware,Communications,"$22,580,000","368,441",Hacker Group,Weak Passwords,AI-based Detection,71
1887,Russia,2019,Malware,Banking,"$55,420,000","945,465",Unknown,Weak Passwords,Firewall,5
1888,USA,2016,DDoS,Healthcare,"$27,080,000","551,900",Unknown,Social Engineering,VPN,17
1889,UK,2021,Malware,Banking,"$73,020,000","731,722",Hacker Group,Weak Passwords,VPN,28
1890,Germany,2018,Phishing,Banking,"$88,730,000","436,597",Insider,Unpatched Software,AI-based Detection,33
1891,France,2020,DDoS,Education,"$16,350,000","728,830",Insider,Zero-day,AI-based Detection,45
1892,USA,2022,Ransomware,IT,"$85,610,000","826,018",Hacker Group,Weak Passwords,Firewall,24
1893,Russia,2020,Ransomware,Communications,"$76,610,000","791,323",Insider,Unpatched Software,Encryption,40
1894,USA,2015,SQL Injection,Banking,"$42,770,000","117,454",Insider,Unpatched Software,Firewall,19
1895,Japan,2023,Ransomware,Retail,"$95,300,000","986,882",Hacker Group,Weak Passwords,Encryption,45
1896,France,2016,Phishing,IT,"$78,120,000","770,227",Unknown,Zero-day,Antivirus,20
1897,China,2024,SQL Injection,Government,"$21,330,000","997,411",Nation-state,Social Engineering,Antivirus,25
1898,Japan,2020,Malware,Education,"$66,930,000","640,603",Hacker Group,Unpatched Software,VPN,23
1899,Brazil,2024,Phishing,Communications,"$81,540,000","499,671",Hacker Group,Weak Passwords,VPN,4
1900,India,2020,Phishing,Retail,"$12,640,000","805,905",Nation-state,Social Engineering,Firewall,54
1901,France,2017,Phishing,Retail,"$43,200,000","377,252",Nation-state,Unpatched Software,Encryption,8
1902,USA,2018,Ransomware,Retail,"$20,580,000","653,168",Unknown,Weak Passwords,AI-based Detection,3
1903,Brazil,2017,Phishing,IT,"$26,620,000","955,790",Nation-state,Zero-day,Encryption,44
1904,USA,2018,Phishing,Communications,"$15,560,000","734,448",Unknown,Social Engineering,Encryption,37
1905,China,2021,Ransomware,Retail,"$12,970,000","425,647",Unknown,Zero-day,Antivirus,4
1906,France,2019,SQL Injection,Banking,"$98,040,000","278,315",Unknown,Unpatched Software,VPN,3
1907,UK,2020,Man in the Middle,Communications,"$63,350,000","294,447",Unknown,Zero-day,AI-based Detection,54
1908,Brazil,2020,DDoS,Education,"$26,570,000","384,988",Insider,Zero-day,AI-based Detection,19
1909,Japan,2020,Man in the Middle,Education,"$29,580,000","141,411",Insider,Unpatched Software,AI-based Detection,58
1910,France,2023,Phishing,Healthcare,"$72,540,000","581,712",Insider,Social Engineering,VPN,12
1911,UK,2020,Ransomware,Education,"$35,160,000","100,749",Unknown,Zero-day,Firewall,62
1912,Russia,2019,Malware,Education,"$56,940,000","217,880",Nation-state,Unpatched Software,VPN,48
1913,France,2023,Man in the Middle,Communications,"$99,710,000","357,542",Hacker Group,Zero-day,Antivirus,21
1914,UK,2021,Malware,Communications,"$77,180,000","347,426",Hacker Group,Zero-day,Antivirus,36
1915,France,2018,Man in the Middle,Education,"$36,920,000","829,140",Nation-state,Unpatched Software,Encryption,2
1916,France,2017,SQL Injection,Healthcare,"$42,800,000","683,189",Unknown,Zero-day,VPN,19
1917,India,2019,Ransomware,Banking,"$89,410,000","453,441",Hacker Group,Unpatched Software,VPN,29
1918,Australia,2017,Malware,IT,"$33,340,000","673,439",Insider,Weak Passwords,Firewall,13
1919,Brazil,2016,SQL Injection,Communications,"$13,940,000","832,297",Nation-state,Weak Passwords,AI-based Detection,69
1920,India,2018,Phishing,IT,"$13,050,000","400,964",Nation-state,Weak Passwords,VPN,19
1921,France,2019,DDoS,Communications,"$52,940,000","192,293",Nation-state,Weak Passwords,VPN,57
1922,Russia,2019,Man in the Middle,Banking,"$26,020,000","565,292",Insider,Unpatched Software,Antivirus,27
1923,Brazil,2016,Phishing,Education,"$9,230,000","774,750",Nation-state,Social Engineering,Firewall,70
1924,France,2022,Phishing,IT,"$78,200,000","666,996",Insider,Weak Passwords,Encryption,59
1925,Germany,2016,Malware,Healthcare,"$94,120,000","21,382",Unknown,Weak Passwords,Encryption,21
1926,Germany,2021,Phishing,Communications,"$55,140,000","463,525",Nation-state,Unpatched Software,AI-based Detection,59
1927,Russia,2022,Ransomware,Communications,"$16,980,000","905,673",Insider,Weak Passwords,VPN,54
1928,India,2024,Man in the Middle,Retail,"$30,590,000","619,881",Nation-state,Unpatched Software,Antivirus,42
1929,France,2015,Malware,Banking,"$20,270,000","987,350",Insider,Zero-day,Antivirus,4
1930,USA,2019,Phishing,Education,"$97,320,000","849,084",Nation-state,Zero-day,VPN,62
1931,UK,2017,Man in the Middle,Education,"$13,060,000","799,627",Hacker Group,Weak Passwords,Antivirus,36
1932,France,2023,Man in the Middle,Education,"$87,390,000","307,155",Unknown,Unpatched Software,Antivirus,28
1933,Japan,2024,Ransomware,Retail,"$88,360,000","989,106",Unknown,Zero-day,Firewall,3
1934,India,2020,Man in the Middle,Retail,"$84,770,000","129,144",Hacker Group,Weak Passwords,Antivirus,25
1935,UK,2015,Malware,Government,"$57,810,000","767,562",Unknown,Zero-day,Antivirus,61
1936,Brazil,2015,Malware,IT,"$74,030,000","956,965",Hacker Group,Unpatched Software,Encryption,40
1937,Germany,2023,Phishing,Retail,"$87,550,000","291,580",Unknown,Unpatched Software,Firewall,25
1938,Germany,2017,Ransomware,Education,"$76,960,000","950,276",Hacker Group,Unpatched Software,Firewall,31
1939,UK,2017,Man in the Middle,Communications,"$89,070,000","932,075",Unknown,Unpatched Software,Firewall,72
1940,Germany,2015,DDoS,Healthcare,"$33,960,000","931,456",Hacker Group,Zero-day,AI-based Detection,22
1941,Japan,2023,Ransomware,Retail,"$28,770,000","983,880",Nation-state,Unpatched Software,Antivirus,54
1942,China,2022,DDoS,Education,"$18,490,000","20,680",Nation-state,Social Engineering,Firewall,29
1943,Australia,2018,Malware,Education,"$21,390,000","437,056",Hacker Group,Zero-day,AI-based Detection,52
1944,India,2021,Malware,Government,"$57,910,000","769,222",Insider,Weak Passwords,Antivirus,32
1945,Australia,2022,Malware,Government,"$4,500,000","436,928",Unknown,Social Engineering,Antivirus,34
1946,China,2021,DDoS,Healthcare,"$38,670,000","340,194",Unknown,Weak Passwords,VPN,44
1947,India,2019,DDoS,IT,"$44,010,000","612,030",Nation-state,Unpatched Software,Antivirus,47
1948,Australia,2019,Man in the Middle,IT,"$87,890,000","551,100",Insider,Zero-day,VPN,9
1949,Brazil,2022,Phishing,IT,"$26,020,000","251,768",Unknown,Social Engineering,VPN,6
1950,Japan,2015,DDoS,Retail,"$11,690,000","680,720",Nation-state,Zero-day,Encryption,2
1951,USA,2017,DDoS,Communications,"$51,690,000","156,213",Nation-state,Weak Passwords,VPN,9
1952,Japan,2020,Man in the Middle,Retail,"$33,750,000","468,856",Hacker Group,Unpatched Software,Firewall,15
1953,France,2023,Ransomware,Government,"$63,450,000","90,678",Nation-state,Unpatched Software,Firewall,22
1954,UK,2022,DDoS,Retail,"$45,730,000","554,585",Hacker Group,Social Engineering,VPN,63
1955,China,2021,Man in the Middle,Banking,"$33,300,000","935,265",Nation-state,Unpatched Software,Firewall,20
1956,Japan,2023,SQL Injection,Banking,"$43,960,000","459,922",Nation-state,Zero-day,Encryption,12
1957,France,2017,DDoS,Healthcare,"$6,720,000","782,873",Hacker Group,Zero-day,Encryption,4
1958,UK,2020,Ransomware,Banking,"$53,030,000","528,708",Unknown,Social Engineering,VPN,14
1959,Germany,2020,SQL Injection,Healthcare,"$38,890,000","513,096",Hacker Group,Weak Passwords,VPN,57
1960,Australia,2018,DDoS,Education,"$79,500,000","636,407",Hacker Group,Zero-day,Encryption,11
1961,USA,2020,Ransomware,Retail,"$38,020,000","419,557",Unknown,Weak Passwords,Antivirus,2
1962,Brazil,2018,DDoS,Healthcare,"$47,470,000","784,099",Insider,Social Engineering,AI-based Detection,30
1963,Japan,2024,Malware,Communications,"$71,180,000","37,870",Nation-state,Zero-day,AI-based Detection,31
1964,Brazil,2022,Malware,IT,"$4,080,000","291,590",Hacker Group,Zero-day,Antivirus,22
1965,India,2018,SQL Injection,Communications,"$15,960,000","444,408",Unknown,Weak Passwords,AI-based Detection,64
1966,Germany,2015,Malware,Banking,"$56,130,000","526,658",Nation-state,Weak Passwords,VPN,38
1967,Japan,2021,Malware,Retail,"$30,530,000","333,238",Hacker Group,Social Engineering,Firewall,20
1968,Australia,2020,DDoS,Retail,"$31,360,000","449,936",Insider,Weak Passwords,VPN,52
1969,Germany,2023,Malware,Retail,"$71,050,000","61,238",Unknown,Unpatched Software,AI-based Detection,41
1970,USA,2024,Malware,Education,"$24,930,000","916,209",Unknown,Zero-day,Encryption,50
1971,India,2022,DDoS,Banking,"$13,970,000","762,440",Nation-state,Unpatched Software,AI-based Detection,19
1972,China,2021,Malware,Banking,"$92,200,000","248,859",Nation-state,Social Engineering,Antivirus,33
1973,Russia,2015,SQL Injection,IT,"$47,800,000","645,774",Hacker Group,Social Engineering,Firewall,7
1974,Brazil,2024,Man in the Middle,Healthcare,"$61,550,000","218,189",Unknown,Weak Passwords,AI-based Detection,48
1975,China,2015,Man in the Middle,Banking,"$66,470,000","623,301",Hacker Group,Social Engineering,VPN,40
1976,Germany,2017,Ransomware,Education,"$10,320,000","195,872",Hacker Group,Social Engineering,Antivirus,22
